nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
       342, 2.614664600E+01, 5.039707581E-01, 1.294771850E+02
       343, 2.639984190E+01, 5.039707581E-01, 1.264241878E+02
       344, 2.665942961E+01, 5.039707581E-01, 1.231110800E+02
       345, 2.691262552E+01, 5.039707581E-01, 1.197502499E+02
       346, 2.717221323E+01, 5.039707581E-01, 1.162183873E+02
       347, 2.742540913E+01, 5.039707581E-01, 1.127342908E+02
       348, 2.768499684E+01, 5.039707581E-01, 1.091672592E+02
       349, 2.793819274E+01, 5.039707581E-01, 1.057405045E+02
       350, 2.819778045E+01, 5.039707581E-01, 1.023412024E+02
       351, 2.871056406E+01, 5.039707581E-01, 9.612921182E+01
       352, 2.845402046E+01, 5.040638822E-01, 9.914497415E+01
       353, 1.530086288E+00, 5.040795124E-01, 2.489351155E+01
       354, 2.897028561E+01, 5.046935176E-01, 9.324783350E+01
       355, 3.000000000E+01, 7.513944607E-01, 8.205722732E+01
       356, 5.004960615E-01, 7.516348260E-01, 3.601663267E+01
       357, 2.504960615E-01, 7.516636763E-01, 4.239908802E+01
       358, 0.000000000E+00, 7.517213770E-01, 4.878705155E+01
       359, 2.974616081E+01, 7.520529601E-01, 8.445209232E+01
       360, 7.546353103E-01, 7.522480536E-01, 3.227000645E+01
       361, 2.948921896E+01, 7.525211640E-01, 8.696514747E+01
       362, 1.012406047E+00, 7.529728852E-01, 2.877622938E+01
       363, 1.269025982E+00, 7.533437093E-01, 2.622802678E+01
       364, 2.922987187E+01, 7.535502408E-01, 8.960866854E+01
       365, 1.528202647E+00, 7.538339442E-01, 2.469951588E+01
       366, 1.786214965E+00, 7.539194780E-01, 2.425904943E+01
       367, 2.041013332E+00, 7.539365758E-01, 2.473937330E+01
       368, 2.299008730E+00, 7.539579460E-01, 2.592966449E+01
       369, 2.553803713E+00, 7.539622178E-01, 2.767126233E+01
       370, 2.811794881E+00, 7.539675570E-01, 2.993014241E+01
       371, 3.066589018E+00, 7.539686243E-01, 3.260522116E+01
       372, 3.324579128E+00, 7.539699583E-01, 3.568390703E+01
       373, 3.579373053E+00, 7.539702250E-01, 3.891224639E+01
       374, 3.837362899E+00, 7.539705583E-01, 4.219132556E+01
       375, 4.092156772E+00, 7.539706249E-01, 4.538802027E+01
       376, 4.350146551E+00, 7.539707081E-01, 4.862112463E+01
       377, 4.604940411E+00, 7.539707248E-01, 5.183686007E+01
       378, 4.862930174E+00, 7.539707456E-01, 5.514574220E+01
       379, 5.117724030E+00, 7.539707498E-01, 5.855057106E+01
       380, 5.375713789E+00, 7.539707550E-01, 6.229263212E+01
       381, 5.630507644E+00, 7.539707560E-01, 6.646814926E+01
       382, 5.888497402E+00, 7.539707573E-01, 7.127167945E+01
       383, 6.143291257E+00, 7.539707576E-01, 7.648240323E+01
       384, 6.401281015E+00, 7.539707579E-01, 8.201497430E+01
       385, 6.656074870E+00, 7.539707579E-01, 8.753937423E+01
       386, 6.914064627E+00, 7.539707580E-01, 9.308034032E+01
       387, 7.168858482E+00, 7.539707580E-01, 9.846084114E+01
       388, 7.426848240E+00, 7.539707581E-01, 1.038248087E+02
       389, 7.681642095E+00, 7.539707581E-01, 1.090767386E+02
       390, 7.939631853E+00, 7.539707581E-01, 1.143983635E+02
       391, 8.194425707E+00, 7.539707581E-01, 1.197002892E+02
       392, 8.452415465E+00, 7.539707581E-01, 1.251380211E+02
       393, 8.707209320E+00, 7.539707581E-01, 1.305680044E+02
       394, 8.965199078E+00, 7.539707581E-01, 1.360870928E+02
       395, 9.219992932E+00, 7.539707581E-01, 1.414969985E+02
       396, 9.477982690E+00, 7.539707581E-01, 1.468596386E+02
       397, 9.732776545E+00, 7.539707581E-01, 1.519622085E+02
       398, 9.990766303E+00, 7.539707581E-01, 1.568361602E+02
       399, 1.024556016E+01, 7.539707581E-01, 1.612344173E+02
       400, 1.050354992E+01, 7.539707581E-01, 1.651069047E+02
       401, 1.075834377E+01, 7.539707581E-01, 1.681898366E+02
       402, 1.101633353E+01, 7.539707581E-01, 1.704426420E+02
       403, 1.127112738E+01, 7.539707581E-01, 1.717791792E+02
       404, 1.152911714E+01, 7.539707581E-01, 1.722326904E+02
       405, 1.178391100E+01, 7.539707581E-01, 1.719458068E+02
       406, 1.204190075E+01, 7.539707581E-01, 1.711506752E+02
       407, 1.229669461E+01, 7.539707581E-01, 1.700267381E+02
       408, 1.255468437E+01, 7.539707581E-01, 1.686619322E+02
       409, 1.280947822E+01, 7.539707581E-01, 1.671350452E+02
       410, 1.306746798E+01, 7.539707581E-01, 1.654179996E+02
       411, 1.332226183E+01, 7.539707581E-01, 1.635758533E+02
       412, 1.358025159E+01, 7.539707581E-01, 1.616419041E+02
       413, 1.383504545E+01, 7.539707581E-01, 1.598362200E+02
       414, 1.409303520E+01, 7.539707581E-01, 1.583645664E+02
       415, 1.434782906E+01, 7.539707581E-01, 1.575243423E+02
       416, 1.460581882E+01, 7.539707581E-01, 1.574984335E+02
       417, 1.486061267E+01, 7.539707581E-01, 1.582955275E+02
       418, 1.511860243E+01, 7.539707581E-01, 1.597204194E+02
       419, 1.537339628E+01, 7.539707581E-01, 1.614870709E+02
       420, 1.563138604E+01, 7.539707581E-01, 1.634440749E+02
